label,cx,cy,theta_rad,major_std,minor_std,m00
2,435.9126213592233,21.998755290017424,-1.452120407448106,1.899415837107913,1.8159576384907916,4017.0
3,153.30566182096405,29.752869166029075,-0.5244263417188778,1.5128473158794529,1.3554347497575467,2614.0
4,383.5468253968254,41.28888888888889,0.7374779747431409,1.4890589310281575,1.454136998179431,2520.0
5,121.08504942339374,43.146622734761124,0.01388154605217063,2.0236476433105706,1.9775007028483405,4856.0
6,74.968325012911,52.431657772422106,0.1290588946322522,2.636747663002106,2.579884853043079,11618.0
7,431.53170859538784,55.76519916142558,-1.229577335108779,1.790678689749147,1.733235255160464,3816.0
8,235.41501310370649,80.70104829651815,0.37524862474754866,2.0180293806905008,1.9021112729971323,5342.0
9,260.9201337295691,79.93164933135215,-1.2196406652098313,1.4824610530261804,1.4077725054715888,2692.0
10,192.64580203638792,92.04590218661325,-1.0945622121452574,2.4780045412854785,2.365281708264455,5991.0
11,466.67655447803764,96.80528617607911,-0.5309079753213799,2.036045169414201,1.8708212355491332,5259.0
12,55.42481203007519,103.53238866396761,-0.9922070776883677,1.850723024605315,1.799489515293349,3458.0
13,430.18712894799336,104.37283305628117,0.03329884477221448,2.0198129330271173,1.974776373712326,4211.0
14,246.92457588262266,154.5694635488308,-0.7648716069697425,1.9502980449113447,1.9348668803328577,4362.0
15,473.99737302977235,158.32990367775832,-1.5241078365369138,1.710460963126115,1.6910778824131352,4568.0
16,58.910752688172046,164.5252688172043,-0.8144894795801612,1.5045425679064293,1.487151314866124,3720.0
17,338.2576666666667,175.69033333333334,-1.1975473576293654,1.6049019389951524,1.4662892656819266,3000.0
18,490.7021232306411,185.5383014154871,0.16453772290769586,1.872362145259917,1.7506461224353889,4804.0
19,144.9821505376344,197.26451612903224,0.46626176174075534,1.8289259376722817,1.8011974964333404,4650.0
21,230.07384513948983,216.3664235381382,-0.6972878366255497,10.258454833876858,1.594174313525591,24267.0
22,331.8034249018908,224.10881198715663,-0.12470582422846259,1.6702347680646792,1.5647534432707233,2803.0
24,270.4281776416539,238.25359877488515,-1.331004212931908,1.4903716295857676,1.4567985075483376,3265.0
25,80.1986353297953,241.93783169067476,-0.7008326411336412,1.6077385492930962,1.5491634576110478,2638.0
26,152.37576967881512,256.11255339213403,0.4346054341264447,7.638533899235135,1.5756683747869622,18027.0
27,401.2396053558844,252.6677237491191,-0.5743225443919241,1.5546191607480389,1.457132085254655,2838.0
28,77.05883483945395,259.8450298019612,0.5554274989008293,2.2805567809233267,2.2444790355300346,5201.0
30,125.02254514371194,286.51907255048616,0.7754547145873418,2.639242465582516,2.579633107190568,9359.0
31,245.11755534767696,286.7966947302775,0.4836399798260069,1.582523136139838,1.5340010494065799,3207.0
32,422.9309667461765,288.8864880033675,-0.37231761749342007,2.532913484607837,2.4838149230607405,7127.0
33,348.31363363363363,314.6693093093093,0.8588857980048695,2.6378034582471974,2.5404665371350794,8325.0
34,464.8159871244635,332.5096566523605,-0.7630519200899087,2.055967912898816,1.894703227666851,3728.0
35,233.4045469742561,360.5229020394517,1.4030298308247777,1.6838254298019342,1.6328286002258516,2991.0
36,162.86670752259843,364.1691435575303,1.48146186321076,1.9588969147580675,1.925985817530952,6527.0
37,276.252048807139,369.0167546894919,1.075717120153743,2.0865041752171516,2.0410357779312154,5491.0
38,140.69238617523274,381.603366917485,-0.9109775387427519,2.190122123055005,2.127071852333709,7841.0
39,95.93800769559641,385.4950833689611,-1.1078064307106135,1.2807529407658476,1.2433623956510391,2339.0
40,22.94415870683321,400.3236590742101,0.6581230324749626,1.4887576469214152,1.3843262298711676,2722.0
41,474.1232098765432,415.26296296296294,-1.1894761265665637,2.1203068273331604,2.01836466598337,4050.0
42,150.59498553519768,432.6673095467695,1.427141636520727,1.4375004324831,1.393578680072025,3111.0
43,56.085980516730196,438.41793731469716,0.8236734576897226,2.410099014600295,2.3527670227862028,9444.0
44,74.0056990881459,447.7587386018237,-0.679033409446791,1.996452891770549,1.9498874144796485,5264.0
45,44.62803634340812,452.80993880956794,0.37139023674729366,2.1370141109514633,2.0471503901179484,5393.0
46,69.39734920205572,463.90532864484715,-1.5079948414409334,1.8101211825699848,1.800639706172022,3697.0
